WATERBODY_ID,VERSION,DATE_RETRIEVED,UP_STREAM,DOWN_STREAM,IMMEDIATE_UP_STREAM,IMMEDIATE_DOWN_STREAM,CATCHMENT_LENGTH,WATERBODY_NAME,WB_TYPE_NAME,Easting,Northing,NGR,BB_MAX_X,BB_MAX_Y,BB_MIN_X,BB_MIN_Y,HMD_NAME
GB104026066800,2,13/09/2013,"GB104026066790, GB104026066860, GB104026066890, GB104026066910, GB104026066950, GB104026066970","GB640402492000, GB640402491000, GB530402609201","GB104026066790, GB104026066910, GB104026066950",GB530402609201,,Holderness Drain from Foredyke Stream to Humber,River,513823,432512,TA1382332512,513844,435576,511468,428711,Artificial
GB104026066820,2,13/09/2013,,"GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026067212,,High Hunsley to Woodmansey Area,River,504888,439313,TA0488839313,505747,439371,502069,437105,Artificial
GB104026066980,2,13/09/2013,,"GB104026067000, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026067000,,Middleton on the Wolds and Watton Beck,River,501842,449746,TA0184249746,506282,450398,497314,447198,Not Designated A/HMWB
GB104026066990,2,13/09/2013,,"GB104026067000, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026067000,,Mickley Dike Catchment,River,509542,449609,TA0954249609,509762,451442,508028,449107,Artificial
GB104026067000,3,13/09/2013,"GB70410028, GB104026066980, GB104026066990, GB104026067010, GB104026067021, GB104026067031, GB104026067040, GB104026067041, GB104026067080, GB104026067090, GB104026067101, GB104026067130, GB104026067080","GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202","GB104026066980, GB104026066990, GB104026067010, GB104026067021, GB104026067040",GB104026067212,,Hull from West Beck to Arram Beck,River,506841,447585,TA0684147585,508228,451764,504739,444031,Heavily Modified
GB104026067010,2,13/09/2013,,"GB104026067000, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026067000,,Scurf Dike from Source to River Hull,River,505045,450736,TA0504550736,507928,451308,502267,450499,Artificial
GB104026067021,1,13/09/2013,"GB70410028, GB104026067090, GB104026067101, GB104026067130","GB104026067000, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202","GB70410028, GB104026067101",GB104026067000,,Old Howe/Frodingham Beck to R Hull,River,509336,454403,TA0933654403,511174,455920,508215,451763,Heavily Modified
GB104026067031,1,13/09/2013,,"GB104026067000, GB104026067040, GB104026067080, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB104026067080",,"GB104026067080, GB104026067080",,Wellsprings Drain/Eastburn Beck/Driffield Trout Stream,River,502098,456242,TA0209856242,502344,456467,496443,452628,Not Designated A/HMWB
GB104026067040,2,13/09/2013,"GB104026067031, GB104026067041, GB104026067080, GB104026067080","GB104026067000, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202","GB104026067041, GB104026067080, GB104026067080",GB104026067000,,West Beck Lower to River Hull,River,506494,452895,TA0649452895,508228,454872,506113,451763,Heavily Modified
GB104026067041,1,13/09/2013,,"GB104026067000, GB104026067040, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202",,GB104026067040,,Skerne Beck,River,503519,453983,TA0351953983,506187,454009,501183,453252,Not Designated A/HMWB
